term,en,es,fr,de,context,notes
Wombat,Wombat,Wombat,Wombat,Wombat,animal/species,Keep consistent
Hoebat,Hoebat,Hoebat,Hoebat,Hoebat,character name,Keep original
Cooroo,Cooroo,Cooroo,Cooroo,Cooroo,character name,Keep original
Lolaboo,Lolaboo,Lolaboo,Lolaboo,Lolaboo,character name,Keep original
Melborow,Melborow,Melborow,Melborow,Melborow,place name,Keep original
Arnamland,Arnamland,Arnamland,Arnamland,Arnamland,place name,Keep original
The Great Crystalisation,The Great Crystalisation,La Gran Cristalización,La Grande Cristallisation,Die Große Kristallisation,event,Official term
Five Sovereigns,Five Sovereigns,Los Cinco Soberanos,Les Cinq Souverains,Die Fünf Souveräne,group title,Keep structure
Kappa Mu,Kappa Mu,Kappa Mu,Kappa Mu,Kappa Mu,group name,Greek letters - keep original
Frequency,Frequency,Frecuencia,Fréquence,Frequenz,technical term,Music/physics concept
The Old Ways,The Old Ways,Los Antiguos Caminos,Les Anciennes Voies,Die Alten Wege,cultural concept,Keep capitalization
Dust-bearers,Dust-bearers,Portadores de Polvo,Porteurs de Poussière,Staubträger,group name,Keep hyphenation
High-noses,High-noses,Narices Altas,Grands Nez,Hochnasen,group name,Keep hyphenation
Arnem,Arnem,Arnem,Arnem,Arnem,entity name,Keep original
Jacaranda,Jacaranda,Jacaranda,Jacaranda,Jacaranda,tree/prophecy,Keep original
Violet Miasma,Violet Miasma,Miasma Violet,Miasma Violet,Violetter Miasma,phenomenon,Color + term structure
Static,Static,Estático,Statique,Statisch,technical/magical,The Static as concept
Tejas,Tejas,Tejas,Tejas,Tejas,technical term,Sanskrit origin - keep original
Ledger,Ledger,Libro Mayor,Grand Livre,Hauptbuch,institution,Financial/bureaucratic term
Freeze Room,Freeze Room,Sala de Congelación,Chambre de Gel,Gefrierkammer,location,Keep capitalization
Council of Burrows,Council of Burrows,Consejo de Madrigueras,Conseil des Terriers,Rat der Baue,institution,Official body name
