Label,Era,Relative Year,Summary,Participants,Tags
The Great Cataclysm,The Muddle,-1000,The hydrological cycle collapses. The sky falls on the ground. The world becomes a wet, gravity-less soup called 'The Muddle'.,Nature,Cosmology
The First Kick,The Genesis,0,Big-Red (Kangaroo) finds a stone and thumps the ground, creating the first 'Floor'.,Big-Red,Myth
The Filtration,The Genesis,5,Ripple (Platypus) unties the knot of chaos, creating the Aquifer and 'The Drink'.,Ripple,Myth
The Great Transmutation,The Genesis,10,Ash (Koala) inhales the toxic steam and exhales Menthol, creating 'The Breath'.,Ash,Myth
Planting of the Wattle,The Genesis,20,The Primes plant the single surviving seed. The Great Wattle grows and blooms.,The Primes,Myth
The First Song,The Genesis,21,The First Rosella sings the Spectrum Song, braiding the frequencies of the Primes. Arnamland wakes up.,Rosella,Myth
The Wombat Awakes,The Golden Cycle,50,The First Wombat (Old Hunker) wakes up from the glare and starts digging tunnels.,Old Hunker,Myth
Loss of the Tail,The Golden Cycle,100,Old Hunker trades his magnificent tail to the Black Dog of the Void to become the pillar of the world.,Old Hunker;Black Dog,Myth
The Grout-Baby Incident,The Golden Cycle,200,Dust-Bearer Thump tricks Sovereign Vitabat I by sinking a perfect sphere trap into the deep substrate.,Thump;Vitabat I,Trickster
The Jar of Silence,The Golden Cycle,250,Uncle Hangbat accidentally spills the Jar of Silence in the deep tunnels, creating the quiet zones.,Uncle Hangbat,Trickster
The Theft of the Heat,The Golden Cycle,300,Cold-Nose steals the Rot (compost) from the Tall-Ones to heat the Gray Grotto.,Cold-Nose,Trickster
The Root Thief,The Golden Cycle,350,Kri-bat (The Blue Wombat) liberates roots from the High-Nose larders using rhythm.,Kri-bat,Trickster
The One-Paw Pillar,The Golden Cycle,400,Kri-bat holds up a collapsing roof with one claw, teaching the rock to hold itself.,Kri-bat,Trickster
The Infinite Stomp,The Golden Cycle,450,Kri-bat leads the mass dance on the Salt Pan, healing the cracks in the Glass for one night.,Kri-bat,Trickster
The Crystalisation Begins,The Disconnection,800,Human empathy fades. The Nico Star dims. The Arnam flow thins.,Tall-Ones,History
Rise of the Static,The Disconnection,850,Crystalline lattice begins to form in the deep substrate. Roots are severed.,Static,History
The Vanishing,The Disconnection,900,The Platypus disappear because they cannot exist in a binary world. The Billabongs dry.,Platypus,History
The Drop Stops,The Disconnection,920,Koalas stop performing the Drop and start selling Lyptus. The Quiet is commodified.,Koalas,History
The Circuits Break,The Disconnection,930,Kangaroo mobs devolve into territorial gangs. The Friction Engine produces violence instead of stability.,Kangaroos,History
Rise of the Sovereigns,The Disconnection,950,The Five-I's Council consolidates power in Melborow. Grout is poured.,The Council,History
The Rosella Exodus,The Disconnection,980,Rosellas are seduced by the Standing Wave and leave the Wattle to become crystal fragments.,Rosellas,History
Fall of the Wattle,The Disconnection,999,The Great Wattle on the Eastern Ridge shatters into glass. Cooroo loses his scream.,Cooroo,Crisis
The Jacaranda Prophecy,The Present,1000,Cooroo hears the violet flower. Hoebat returns to Melborow. The final cycle begins.,Cooroo;Hoebat,Crisis
The Rain of Arnam,The Future,1001,Potential future: The restoration of the flow through the Jacaranda's fractal antenna.,All,Prophecy
